a_median,a_pct10,a_pct90,h_median,h_pct10,h_pct90,occ_code,occ_title,tot_emp,year,job,state,monthly rent,monthly mortgage
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Virginia,221.5173315,561.4465076
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Washington,239.8669022,509.5437223
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,West Virginia,76.31391467,195.411091
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Wisconsin,157.1701681,375.9728821
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Wyoming,122.1068284,290.1092652
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Alabama,111.0892519,267.3391663
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Alaska,244.5242588,458.8508614
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Arizona,194.7916067,420.6199523
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Arkansas,114.3899552,226.4274307
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,California,385.2692788,642.379108
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Colorado,219.8878622,552.6663813
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Connecticut,225.6301148,654.1098603
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Delaware,172.4070036,414.4066997
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,District of Columbia,462.2194047,421.2349083
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Florida,205.6823424,396.8712982
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Georgia,188.7291087,414.2821412
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Hawaii,348.036211,523.7216651
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Idaho,137.5290755,369.8252087
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Illinois,196.5915163,489.0426312
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Indiana,141.5059493,350.3242564
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Iowa,120.0724922,304.3595528
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Kansas,145.584708,342.4691756
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Kentucky,113.8319335,283.1820172
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Louisiana,126.1349264,253.8938749
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Maine,129.5054539,284.8245746
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Maryland,242.0786214,636.5086426
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Massachusetts,285.8527399,580.8829423
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Michigan,139.8788102,407.4123917
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Minnesota,155.0544967,518.6016242
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Mississippi,105.7812676,232.363676
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Missouri,131.7423112,336.9607319
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Montana,131.7908258,275.5119019
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Nebraska,144.2831864,327.1670908
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Nevada,286.8578391,514.3074548
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,New Hampshire,186.1365135,490.2785333
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,New Jersey,273.7429557,662.8223083
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,New Mexico,144.1694958,305.1349616
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,New York,346.1386742,429.3132824
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,North Carolina,155.0519406,337.397214
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,North Dakota,124.1524976,235.2002257
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Ohio,151.2352454,364.6549617
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Oklahoma,130.9976562,251.3194736
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Oregon,226.5156726,417.3573141
46060,30530,73330,*,*,*,25-2031,"Secondary school teachers, except special and vocational education",1015740,2005,HS Teachers,Pennsylvania,153.0672322,357.2342504
