CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Atlantic,1940,Hamilton Township,"$66,821 ","$58,687","$55,611"
Cumberland,5390,Vineland City,"$66,809 ","$65,004","$62,476"
Sussex,1980,Hampton Township,"$66,793 ","$65,859","$64,197"
Bergen,5755,Westwood Regional,"$66,780 ","$66,780","$59,813"
Bergen,2180,Hillsdale Borough,"$66,728 ","$66,728","$66,728"
Passaic,5440,Wanaque Borough,"$66,725 ","$63,695","$66,245"
Burlington,1250,Eastampton Township,"$66,697 ","$70,460","$68,675"
Middlesex,3530,New Brunswick City,"$66,644 ","$62,456","$63,860"
Atlantic,1960,Hammonton Town,"$66,600 ","$63,127","$62,540"
Passaic,4400,Ringwood Borough,"$66,592 ","$63,689","$57,765"
Burlington,5805,Willingboro Township,"$66,532 ","$64,815","$59,552"
Morris,5770,Wharton Borough,"$66,522 ","$67,105","$62,575"
Ocean,4220,Point Pleasant Beach Borough,"$66,473 ","$66,687","$64,269"
Monmouth,3200,Millstone Township,"$66,450 ","$64,155","$61,000"
Monmouth,2105,Hazlet Township,"$66,450 ","$64,350","$63,900"
Union,2190,Hillside Township,"$66,368 ","$69,118","$60,688"
Morris,460,Boonton Township,"$66,365 ","$62,979","$63,811"
Warren,5530,Washington Township,"$66,320 ","$64,465","$67,628"
Gloucester,1775,Gloucester Co Vocational,"$66,216 ","$65,139","$61,316"
Monmouth,2920,Manalapan-Englishtown Reg,"$66,209 ","$64,244","$63,569"
Union,980,Cranford Township,"$66,199 ","$66,199","$63,363"
Sussex,5100,Sussex-Wantage Regional,"$66,170 ","$65,470","$64,498"
Hudson,6420,Elysian Charter School,"$66,090 ","$68,900","$70,812"
Gloucester,5860,Woodbury City,"$66,014 ","$64,586","$63,565"
Sussex,3300,Montague Township,"$65,980 ","$65,980","$63,985"
Morris,3340,Montville Township,"$65,893 ","$65,162","$63,907"
Essex,2330,Irvington Township,"$65,890 ","$69,278","$55,276"
Gloucester,1100,Deptford Township,"$65,855 ","$65,855","$66,855"
Ocean,2690,Little Egg Harbor Township,"$65,772 ","$65,999","$65,194"
Union,2660,Linden City,"$65,739 ","$65,737","$65,737"
Somerset,3670,North Plainfield Borough,"$65,735 ","$64,725","$62,635"
Camden,260,Bellmawr Borough,"$65,679 ","$63,416","$62,010"
Burlington,3070,Medford Lakes Borough,"$65,677 ","$60,321","$60,603"
Salem,5320,Upper Pittsgrove Township,"$65,668 ","$61,863","$61,963"
Hudson,5670,West New York Town,"$65,663 ","$64,368","$64,463"
Monmouth,1660,Freehold Township,"$65,582 ","$63,527","$56,555"
Middlesex,970,Cranbury Township,"$65,500 ","$62,700","$60,100"
Monmouth,2720,Little Silver Borough,"$65,500 ","$63,500","$61,045"
Morris,4000,Long Hill Township,"$65,478 ","$62,974","$61,300"
Hunterdon,1040,Delaware Township,"$65,455 ","$66,018","$67,990"
Cape May,3130,Middle Township,"$65,398 ","$63,657","$61,812"
