Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment,PUMS Monthly mortgage payment.1
Oregon,261.3662344,417.35731410000005,
Pennsylvania,192.93755349999998,357.23425039999995,
Rhode Island,275.6859951,475.97038319999996,
South Carolina,155.9068053,305.8840373,
South Dakota,151.56485869999997,262.0106611,
Tennessee,171.6015979,319.83444489999994,
Texas,241.3846434,336.3517471,
Utah,204.743323,471.5010188,
Vermont,179.0711187,317.84163870000003,
Virginia,275.0544517,561.4465076,
Washington,290.8818769,509.5437223,
West Virginia,105.019255,195.411091,
Wisconsin,184.1550959,375.97288210000005,
Wyoming,158.89428130000002,290.1092652,
Alabama,158.6264852,304.50377530000003,
Alaska,282.0192712,520.5838356,
Arizona,244.7585144,494.74632249999996,
Arkansas,166.83951509999997,263.437412,
California,477.15231560000007,739.7076925,
Colorado,262.3746401,625.2822545,
Connecticut,291.66990539999995,767.785571,
Delaware,202.2199889,530.8453428,
District of Columbia,565.5273842,570.2816625,
Florida,241.7718951,443.98568339999997,
Georgia,218.9823074,468.7563631,
Hawaii,486.3954036,668.8037536,
Idaho,169.31604219999997,436.9605135,
Illinois,249.6431719,549.9855317,
Indiana,177.2122427,371.2012798,
Iowa,155.57389799999999,360.26887630000004,
Kansas,196.4217298,384.0431333,
Kentucky,159.9736821,308.1291735,
Louisiana,188.56469009999998,311.662491,
Maine,147.3839597,357.0995183,
Maryland,313.49692610000005,787.3913781,
Massachusetts,326.4372083,676.7525664,
Michigan,164.2444534,408.0410211,
Minnesota,179.0829768,575.8100936000001,
Mississippi,150.7009707,271.2494799,
Missouri,176.7093607,387.07492169999995,
Montana,157.4202774,342.9311064,
Nebraska,185.40839269999998,380.0458831,
Nevada,357.8654403,574.6270227000001,
New Hampshire,209.48792930000002,583.5538514,
New Jersey,341.09045760000004,789.5214417000001,
New Mexico,175.90473269999998,358.19406969999994,
New York,432.2110608,505.45524589999997,
North Carolina,196.4869345,395.3088455,
North Dakota,171.5661022,270.68622569999997,
Ohio,191.70183290000003,386.9270045,
Oklahoma,174.13497769999998,290.7690718,
Oregon,286.4916541,505.47222239999996,
Pennsylvania,197.75371830000003,414.457554,
Rhode Island,287.0707594,568.3776151000001,
South Carolina,169.76032030000002,351.63007749999997,
South Dakota,152.00026599999998,314.6005961,
Tennessee,179.0851834,366.65475610000004,
Texas,254.73461719999997,378.5020484,
